Name_PV,Active_ref
PMGD_PFV_Horcones066,0.717950366
PFV_Ortega_Negrete_OG,0.711079149
PMGD_PFV_Duqueco220,0.708472826
PMGD_PFV_Temuco066,0.711079149
PFV_Tamango_OG,0.705680336
PMGD_PFV_Charrua066,0.688885531
PMGD_PFV_Mulchen220,0.688885531
PMGD_PFV_Chillan154,0.688885531
PMGD_PFV_Parral154,0.688885531
PMGD_PFV_Paine154,0.338885531
PMG_Venezia_Solar_OG,0.338885531
PMGD_PFV_Malloa154,0.338885531
PMGD_PFV_PCortes154,0.338885531
PMGD_PFV_Teno154,0.338885531
PMGD_PFV_Tinguiririca154,0.338885531
PFV_Gran_Teno_OG,0.338885531
PMGD_PFV_Rancagua154,0.358627459
PMGD_PFV_Talca066,0.308120086
PMGD_PFV_Linares154,0.305766463
PMGD_PFV_Itahue154,0.29359128
PMGD_PFV_SJavier066,0.334106825
