Name_WP,N_PV_inServ
PE_Aurora,74.0
PE_SanGabriel,110.0
PE_MallecoNorte,83.0
PE_MallecoSur,80.0
PE_Los_Olmos,65.0
PE_Tolpan_Sur,50.0
PE_Lomas_de_Duqueco,30.0
PE_El_Arrayan,60.0
PE_Pta_Palmeras,27.0
PE_Talinay_O_P,80.0
PE_Monte_Redondo,20.0
PE_CANELA_II,20.0
PE_LOS_CURUROS,60.0
PE_PUNTA_SIERRA,10.0
PE_Cerro_Pampa_Tigre,180.0
PE_Sierra_Gorda,74.0
PE_Tchamma,100.0
PE_Calama34,97.0
PE_Cabo_Leones_I,55.0
PE_Valle_de_los_Vientos,75.0
PE_Taltal_Parinas,180.0
PE_Llanos_del_Viento,103.0
PE_La_Estrella,30.0
PE_San_Juan_I_II,112.0
PE_Ca_Man_Lce,70.0
PE_Ckani_new,75.0
PE_SUR_1,150.0
PE_SUR_2,150.0
PE_SUR_3,150.0
PE_SUR_4,150.0
PE_Sarco220,102.0
PE_Renaico_I,56.0
PE_Taltal,38.0
PE_Cabo_Leones_II,49.0
PE_Sarco220_old,100.0
PE_San_Pedro_II,20.0
PE_Ckani,63.0
