Name_of_LF,Parameter,Value,Unit
LF_Colbun66,BusType,PV,
,Voltage,63.36,kVRMSLL
,P,9.54,MW
,Qset,-0.4,MVAR
,Qmax,25,MVAR
,Qmin,-25,MVAR
LF1,BusType,PQ,
,Voltage,223.3514729018865,kVRMSLL
,P,-614.336,MW
,Qset,0,MVAR
,Qmax,1000,MVAR
,Qmin,-1000,MVAR
LF3,BusType,PV,
,Voltage,12.8,kVRMSLL
,P,-1,MW
,Qset,0,MVAR
,Qmax,112.5,MVAR
,Qmin,-87.5,MVAR
LF2,BusType,PQ,
,Voltage,520.0033388277735,kVRMSLL
,P,585.68,MW
,Qset,0,MVAR
,Qmax,1000,MVAR
,Qmin,-1000,MVAR
LF5,BusType,PV,
,Voltage,15,kVRMSLL
,P,0,MW
,Qset,480,MVAR
,Qmax,396,MVAR
,Qmin,-165,MVAR
LF6,BusType,PV,
,Voltage,15,kVRMSLL
,P,0,MW
,Qset,480,MVAR
,Qmax,92,MVAR
,Qmin,-89.7,MVAR
LF7,BusType,PV,
,Voltage,15,kVRMSLL
,P,0,MW
,Qset,480,MVAR
,Qmax,396,MVAR
,Qmin,-165,MVAR
LF4,BusType,PV,
,Voltage,15,kVRMSLL
,P,0,MW
,Qset,480,MVAR
,Qmax,297,MVAR
,Qmin,-140,MVAR
LF8,BusType,PQ,
,Voltage,13.8,kVRMSLL
,P,0.001,MW
,Qset,0,MVAR
,Qmax,1000,MVAR
,Qmin,-1000,MVAR
LF9,BusType,PQ,
,Voltage,13.8,kVRMSLL
,P,0.001,MW
,Qset,0,MVAR
,Qmax,1000,MVAR
,Qmin,-1000,MVAR
LF10,BusType,PQ,
,Voltage,13.8,kVRMSLL
,P,0.001,MW
,Qset,0,MVAR
,Qmax,1000,MVAR
,Qmin,-1000,MVAR
LF11,BusType,PQ,
,Voltage,13.8,kVRMSLL
,P,0.001,MW
,Qset,0,MVAR
,Qmax,1000,MVAR
,Qmin,-1000,MVAR
LF12,BusType,PQ,
,Voltage,13.8,kVRMSLL
,P,0.001,MW
,Qset,0,MVAR
,Qmax,1000,MVAR
,Qmin,-1000,MVAR
LF13,BusType,PQ,
,Voltage,13.8,kVRMSLL
,P,0.001,MW
,Qset,0,MVAR
,Qmax,1000,MVAR
,Qmin,-1000,MVAR
